No,対象業務,要求内容（現場の期待）,入力（Input）,処理（Process）,出力（Output）,主担当部署,AI活用タイプ,技術的難易度,主技術,補助技術,備考 / 補足
1,資料作成,背景・スライドマスターを当社に著作権を有する形で作成してほしい,自社のブランドガイドライン、既存デザイン資産、色・フォント指定,LLMで基本レイアウト構成案を生成 → 画像生成AIで背景グラフィック作成 → PowerPointテンプレート形式に変換,PowerPointテンプレートファイル（.potx）,マーケティング部,知的支援,2,生成AI（LLM）,画像生成AI（Stable Diffusion/DALL-E）、PowerPoint API,著作権確保のため外部素材は使用不可。自社生成または完全オリジナル制作が必須
2,複雑な試算・シミュレーション,AIに実行してもらい繰り返し試算することにより、より正確に修正できればなお良い,シミュレーション条件（売上単価・成約率・市場規模など）、過去実績データ（CSV）,【重要】LLMによる計算補助ではなく、パラメータ設定に基づく数理シミュレーションエンジンを構築 → モンテカルロ法や感度分析を実行 → 結果をLLMで解釈・示唆抽出,シミュレーション結果レポート（Excel）、グラフ付き感度分析チャート,マーケティング部,データ活用,3,統計分析・数理シミュレーション,Python（NumPy/Pandas）、LLM（結果解釈用）,単なるLLM計算ではなく、確率的試算や最適化が必要。スプレッドシートマクロでは限界があるため専用スクリプト開発が必要
3,データの分析,Web上にある市場情報から、市場分析をしてほしい,指定業界のキーワード、対象URL群（業界レポート・ニュースサイト）,Webスクレイピングで市場データ収集 → LLMで情報構造化（市場規模・成長率・主要プレイヤー抽出） → BIツールで可視化,市場分析レポート（PowerPoint 3-5枚）,マーケティング部,データ活用,2,Webスクレイピング、生成AI（LLM）,Beautiful Soup/Scrapy、BIツール,公開情報のみ対象。ペイウォール越えや認証必要サイトは手動収集が前提
4,戦略アドバイス,製品のマーケティング／戦略策定にロジカルな助言をしてほしい,自社製品仕様、競合情報、ターゲット市場データ,LLMにビジネスフレームワーク（SWOT・3C・STP）を適用させて分析 → 戦略オプション複数案を生成 → 論理的整合性チェック,戦略提案レポート（Word/PowerPoint 5-10枚）,マーケティング部,知的支援,1,生成AI（LLM）,なし,LLMの幻覚リスクあり。最終判断は人間が必須。フレームワークプロンプトテンプレート化が有効
5,情報検索,論文検索機能,検索キーワード、対象分野（医療・技術など）,Google Scholar APIまたはPubMed APIで論文検索 → メタデータ（著者・引用数・要旨）取得 → LLMで関連度スコアリング,関連論文リスト（タイトル・URL・要約付きExcel）,マーケティング部,オペレーション効率化,1,学術検索API,LLM（要約生成用）,アクセス制限論文は閲覧不可。無料公開論文のみ対象
6,資料レビュー,客観的なレビューコメントがほしい（資料の内容面）,PowerPoint/Word資料ファイル,LLMで資料テキスト抽出 → ロジック構成・論拠の妥当性・情報の過不足を評価 → 改善提案コメント生成,レビューコメントリスト（Word）、修正案付き,マーケティング部,知的支援,1,生成AI（LLM）,OCR（画像内テキスト抽出用）,図表内容の深い理解は限定的。テキスト中心の評価が主
7,資料レビュー,資料の体裁やわかりやすさについてのコメントがほしい（表現面）,PowerPoint/Word資料ファイル,LLMで資料構造解析 → フォント統一性・図表配置・情報密度・視認性を評価 → デザイン改善提案,レビューコメントリスト（視覚デザイン観点）,マーケティング部,知的支援,1,生成AI（LLM）,OCR、画像認識AI,色覚アクセシビリティチェックなど定量評価可能な項目も含められる
8,データの可視化,Salesforce全数チェックや市場レポートをもとにした、わかりやすいグラフ・図を作りたい,【重要】Salesforceデータ全件（CSV/API経由）、市場レポートPDF/Excel,Salesforce API経由でデータ抽出 → データクレンジング（重複・欠損処理） → BIツール（Tableau/Power BI）でダッシュボード構築 → LLMで自動コメント生成,Tableauダッシュボード、またはPowerPointグラフ集,マーケティング部,データ活用,2,Salesforce API、BIツール,Python（データ加工）、LLM（インサイト生成）,「全数チェック」はデータ品質監査の意味。異常値検知ロジック組み込みが望ましい。単なるグラフ化ではなくデータ整合性確認が主目的
9,情報の要約,Web上の市場調査資料などの要点を要約してほしい,WebページURL、またはPDFファイル,Webスクレイピング/PDFテキスト抽出 → LLMで要点抽出（3-5箇条書き） → 重要キーワードハイライト,要約テキスト（箇条書き形式、Word）,マーケティング部,知的支援,1,生成AI（LLM）,Webスクレイピング、PDF解析ライブラリ,長文は分割要約が必要。最大トークン数制約に注意
10,仮説の検証,「この市場ではこういうことが起きているのでは」という仮説に対して、裏付けのある情報ソースを提示してほしい,仮説文章、検索キーワード,Web検索API実行 → 関連記事・統計データ収集 → LLMで仮説との整合性判定 → 情報源URLと引用文を構造化,検証レポート（仮説 vs 根拠一覧、Excel/Word）,マーケティング部,知的支援,2,Web検索API、生成AI（LLM）,Webスクレイピング,情報源の信頼性判定ロジックが重要。政府統計・業界団体データ優先
11,広告コピー作成,仮の広告コピーやキャッチコピー案を大量に作りたい,製品特徴、ターゲット顧客像、訴求ポイント,LLMにコピーライティングプロンプト投入 → 複数パターン生成（50-100案） → 文字数・トーン別にフィルタリング,コピー案リスト（Excel、50-100案）,マーケティング部,知的支援,1,生成AI（LLM）,なし,薬機法・景品表示法チェックは別途人間確認必須
12,競合調査,競合企業のWeb・SNS上の発信内容をモニタリングして整理してほしい,競合企業リスト、対象SNSアカウント（Twitter/LinkedIn）,定期Webスクレイピング → SNS API（Twitter API/LinkedIn API）でポスト収集 → LLMでトピック分類・感情分析,競合動向レポート（週次/月次、Excel）,マーケティング部,データ活用,2,Webスクレイピング、SNS API,LLM（分類・要約用）、スケジューラ,利用規約遵守必須。API利用制限に注意。定期実行ならGAS/cron設定
